Array	IE_Euryarchaeota_motif_1_1	IE_Euryarchaeota_motif_1_1_pvalue
NZ_CP065313.1_Array_1	191	1.07022960943
NZ_CP066014.1_Array_1	156	0.977807279699
NZ_CP068103.1_Array_3	130	1.0
NZ_CP068550.1_Array_1	164	1.07022960943
NZ_CP071892.1_Array_1_R	158	1.01117645711
NZ_CP071974.1_Array_1	94	0.977807279699
NZ_CP073266.1_Array_1_L	158	1.01117645711
NZ_CP074133.1_Array_4	102	0.981099145814
NZ_CP075188.1_Array_1	100	1.0891704765
NZ_CP076250.1_Array_2	30	1.09615624669
NZ_CP076386.1_Array_5	114	0.993961943512
NZ_CP076824.1_Array_1	158	1.01117645711
NZ_CP079950.1_Array_1_R	180	1.0251892358
NZ_CP080599.1_Array_4	102	0.981099145814
NZ_CP084251.1_Array_2	47	1.01117645711
NZ_CP084715.1_Array_1_R	158	1.01117645711
NZ_CP085936.1_Array_2	40	1.01744521882
NZ_CP087715.1_Array_1	50	0.993961943512
NZ_CP089586.1_Array_2	109	1.0251892358
NZ_CP090819.1_Array_1_R	158	1.01117645711
NZ_CP092072.1_Array_3	90	1.0251892358
NZ_CP094385.1_Array_1	158	1.01117645711
NZ_CP094943.1_Array_2	114	0.993961943512
NZ_CP096855.1_Array_1_L	158	1.01117645711
NZ_CP098680.1_Array_1	108	1.0251892358
NZ_CP098682.1_Array_1	108	1.0251892358
NZ_CP103339.1_Array_1	145	0.983356964104
NZ_CP103912.1_Array_1_R	158	1.01117645711
NZ_CP104084.1_Array_1_R	158	1.01117645711
NZ_CP106679.1_Array_1	175	0.977807279699
NZ_CP106794.1_Array_4	163	1.12999544548
NZ_CP109831.1_Array_1	43	1.12999544548
NZ_CP110536.1_Array_1_R	158	1.01117645711
NZ_CP110799.1_Array_1_R	158	1.01117645711
NZ_CP113419.1_Array_1_R	158	1.01117645711
NZ_CP122378.1_Array_1_R	158	1.01117645711
NZ_CP122406.1_Array_1_R	158	1.01117645711
NZ_CP127090.1_Array_1_R	158	1.01117645711
NZ_HG322949.1_Array_1	50	0.993961943512
NZ_HG322949.1_Array_2	50	0.993961943512
NZ_HG322949.1_Array_3	50	0.993961943512
NZ_LN879430.1_Array_1	179	1.11797057874
NZ_LR782267.1_Array_4	173	1.01744521882
NZ_LT608334.1_Array_1	42	1.03059167031
NZ_LT900021.1_Array_9	164	1.10931367065
NZ_LT906467.1_Array_1	93	0.975672714842
NZ_OU912926.1_Array_1	100	1.00730724761
