Array	ID_Thermoproteota_motif_1_1	ID_Thermoproteota_motif_1_1_pvalue
NZ_CP069275.1_Array_2	21	0.936775452627
NZ_CP069495.1_Array_1	30	1.0
NZ_CP070262.1_Array_1	154	0.936775452627
NZ_CP070865.1_Array_1	36	0.936775452627
NZ_CP070936.1_Array_1	148	1.0
NZ_CP070939.1_Array_1	148	1.0
NZ_CP070943.1_Array_1	148	1.0
NZ_CP072197.1_Array_1	182	1.0
NZ_CP072209.1_Array_3	80	0.872785976613
NZ_CP072633.1_Array_2	154	0.936775452627
NZ_CP072683.1_Array_5	180	0.893391065888
NZ_CP073348.1_Array_3	127	1.0
NZ_CP076255.1_Array_1	109	1.0
NZ_CP080635.1_Array_1	36	0.936775452627
NZ_CP081497.1_Array_3	129	0.872785976613
NZ_CP084007.1_Array_1	24	1.0
NZ_CP084655.1_Array_2	53	0.936775452627
NZ_CP088019.1_Array_4	53	0.936775452627
NZ_CP089060.1_Array_2	21	0.936775452627
NZ_CP089974.1_Array_1	37	0.893391065888
NZ_CP090063.1_Array_1	15	0.872785976613
NZ_CP091381.1_Array_3	81	0.936775452627
NZ_CP091381.1_Array_4	191	0.872785976613
NZ_CP092048.1_Array_4	127	1.0
NZ_CP092049.1_Array_4	127	1.0
NZ_CP092050.1_Array_4	127	1.0
NZ_CP097245.1_Array_2	79	1.0
NZ_CP101407.1_Array_2	4	0.893391065888
NZ_CP101411.1_Array_1	4	0.893391065888
NZ_CP101413.1_Array_1	4	0.893391065888
NZ_CP102415.1_Array_2	94	0.872785976613
NZ_CP102538.1_Array_2	21	0.936775452627
NZ_CP102797.1_Array_2	21	0.936775452627
NZ_CP104755.1_Array_3	36	0.936775452627
NZ_CP110774.1_Array_1	152	0.893391065888
NZ_CP112880.1_Array_2	172	0.872785976613
NZ_CP113264.1_Array_7	26	0.872785976613
NZ_CP114903.1_Array_4	193	0.872785976613
NZ_CP115608.1_Array_1	110	1.0
NZ_CP115609.1_Array_1	111	1.0
NZ_CP115668.1_Array_1	36	0.893391065888
NZ_CP115969.1_Array_2	46	0.893391065888
NZ_CP116612.1_Array_4	127	1.0
NZ_CP116772.1_Array_2	22	0.936775452627
NZ_CP117709.1_Array_1	173	0.872785976613
NZ_CP123966.1_Array_1_R	136	0.893391065888
NZ_CP128509.1_Array_1	113	0.936775452627
NZ_LN907858.1_Array_1_R	187	0.872785976613
NZ_LR134363.1_Array_2	93	0.936775452627
NZ_LR134381.1_Array_3	116	0.872785976613
NZ_LR134407.1_Array_3	116	0.872785976613
NZ_LR134472.1_Array_1	4	0.936775452627
NZ_LR215983.1_Array_1_L	156	1.0
NZ_LR822011.1_Array_1	21	0.936775452627
NZ_LR822014.1_Array_2	21	0.936775452627
NZ_LR822015.1_Array_2	21	0.936775452627
NZ_LR822017.1_Array_2	21	0.936775452627
NZ_LR822019.1_Array_2	21	0.936775452627
NZ_LR822020.1_Array_2	21	0.936775452627
NZ_LR822023.1_Array_2	21	0.936775452627
NZ_LR822025.1_Array_1	21	0.936775452627
NZ_LR822026.1_Array_2	21	0.936775452627
NZ_LR822027.1_Array_2	21	0.936775452627
NZ_LR822031.1_Array_2	21	0.936775452627
NZ_LR822032.1_Array_2	21	0.936775452627
NZ_LR822037.1_Array_2	21	0.936775452627
NZ_LR822040.1_Array_1	20	0.936775452627
NZ_LR824002.1_Array_1	21	0.936775452627
NZ_LS483446.1_Array_1	29	1.0
NZ_LS974444.1_Array_2	21	0.936775452627
NZ_LT629775.1_Array_5	135	1.0
