Array	IE_Deinococcota_motif_1_1	IE_Deinococcota_motif_1_1_pvalue
NZ_AP025627.1_Array_2	187	0.770876828543
NZ_CM000955.1_Array_1	55	0.81380559746
NZ_CM001240.1_Array_1	151	0.731203424386
NZ_CP004392.1_Array_1	170	0.716836545998
NZ_CP007633.1_Array_2	166	0.770876828543
NZ_CP010822.1_Array_2	43	0.887574863551
NZ_CP012706.1_Array_4	99	0.729227533777
NZ_CP013008.1_Array_5	6	0.73403006149
NZ_CP013011.1_Array_3	163	0.760998421315
NZ_CP013011.1_Array_4	20	0.788742582698
NZ_CP014672.1_Array_7	113	0.857693668953
NZ_CP015435.1_Array_2	71	0.941143846598
NZ_CP015436.1_Array_7	71	0.941143846598
NZ_CP016162.1_Array_2	87	0.713010344033
NZ_CP016313.1_Array_5	43	0.774952744054
NZ_CP016313.1_Array_6	43	0.746378587414
NZ_CP016602.1_Array_3	169	0.796559787518
NZ_CP017768.1_Array_2	176	0.887574863551
NZ_CP017922.1_Array_1	122	0.731203424386
NZ_CP019405.1_Array_1	182	0.763825058419
NZ_CP019682.1_Array_1	82	0.796559787518
NZ_CP019683.1_Array_1	82	0.796559787518
NZ_CP019684.1_Array_1	82	0.796559787518
NZ_CP025197.1_Array_2	186	0.706787020084
NZ_CP028271.1_Array_3	150	0.796559787518
NZ_CP029754.1_Array_1	107	0.726576538733
NZ_CP031003.1_Array_3	169	0.796559787518
NZ_CP035758.1_Array_4	37	0.796559787518
NZ_CP036550.1_Array_1	99	0.729227533777
NZ_CP036555.1_Array_1	99	0.729227533777
NZ_CP037830.1_Array_3	60	0.726576538733
NZ_CP041765.1_Array_1	26	0.709373546615
NZ_CP043427.1_Array_1	82	0.796559787518
NZ_CP043610.1_Array_2	99	0.729227533777
NZ_CP044077.1_Array_2	171	0.796559787518
NZ_CP045185.1_Array_2	169	0.796559787518
NZ_CP046570.1_Array_5	87	0.750068098301
NZ_CP047129.1_Array_2_L	11	0.716836545998
NZ_CP047158.1_Array_8	77	0.941143846598
NZ_CP048627.1_Array_4	20	0.802410369808
NZ_CP048829.1_Array_2	106	0.758276498876
NZ_CP049756.1_Array_3	171	0.796559787518
NZ_CP050218.1_Array_6	126	0.857693668953
NZ_CP054694.1_Array_5	22	0.778384504016
NZ_CP061081.1_Array_2	101	0.763825058419
NZ_CP062165.1_Array_1	46	0.760998421315
NZ_CP065983.1_Array_2	169	0.731203424386
NZ_CP069563.1_Array_3	99	0.729227533777
NZ_CP070496.1_Array_3_R	175	0.839006379481
NZ_CP072257.1_Array_2	99	0.729227533777
NZ_CP072366.1_Array_3	14	0.763825058419
NZ_CP073013.1_Array_1	45	0.746378587414
NZ_CP073365.1_Array_1	23	0.73403006149
NZ_CP076325.1_Array_1	43	0.910283852708
NZ_CP076325.1_Array_2	43	1.0
NZ_CP076325.1_Array_3	43	0.910283852708
NZ_CP078019.1_Array_1	186	0.714713680325
NZ_CP081922.1_Array_4	99	0.729227533777
NZ_CP082324.1_Array_5	43	0.887574863551
NZ_CP082324.1_Array_6	43	0.887574863551
NZ_CP083623.1_Array_2	99	0.729227533777
NZ_CP086237.1_Array_1	167	0.724860892616
NZ_CP092445.1_Array_1	43	0.910283852708
NZ_CP092473.1_Array_3	171	0.808326028419
NZ_CP097329.1_Array_3	151	0.756082798536
NZ_CP097606.1_Array_2	172	0.716836545998
NZ_CP097607.1_Array_2	172	0.716836545998
NZ_CP097614.1_Array_2	171	0.796559787518
NZ_CP097790.1_Array_3	171	0.716836545998
NZ_CP098482.1_Array_1	99	0.729227533777
NZ_CP102272.1_Array_3	183	1.0
NZ_CP103798.1_Array_7	60	0.726576538733
NZ_CP103801.1_Array_7	60	0.726576538733
NZ_CP106875.1_Array_1	12	0.827869961923
NZ_CP110888.1_Array_1	193	0.857693668953
NZ_CP113797.1_Array_3	6	0.73403006149
NZ_CP114371.1_Array_1	99	0.729227533777
NZ_CP117955.1_Array_2	99	0.729227533777
NZ_CP121476.1_Array_1	87	0.713010344033
NZ_CP124222.1_Array_8	112	0.802410369808
NZ_HG916826.1_Array_3	87	0.713010344033
NZ_LN734822.1_Array_1	176	0.887574863551
NZ_LN877293.1_Array_2	99	0.729227533777
NZ_LN885086.1_Array_2	14	0.788742582698
NZ_LR027520.1_Array_1	43	0.887574863551
NZ_LR027520.1_Array_2	43	0.887574863551
NZ_LR134365.1_Array_3	100	0.941143846598
NZ_LR134514.1_Array_2	171	0.796559787518
NZ_LR215037.1_Array_1	60	0.726576538733
NZ_LS483443.1_Array_1	169	0.731203424386
NZ_LT629700.1_Array_1	191	0.782292523237
NZ_LT906446.1_Array_5	96	0.726576538733
NZ_LT906446.1_Array_7	97	0.726576538733
